Date,Season,Month,WY,WYS,P301,P303,P304,D102,P300,B201,B203,B204,T003,B200
10/1/2003,1,10,2004,200401,0.0507,0.0752,0.5249,0.0741,-9999,0.168,0.148,0.125,0.232,-9999
10/2/2003,1,10,2004,200401,0.0593,0.0778,0.5353,0.0782,-9999,0.188,0.145,0.131,0.222,-9999
10/3/2003,1,10,2004,200401,0.0659,0.0779,0.5380,0.0797,-9999,0.192,0.148,0.130,0.223,-9999
10/4/2003,1,10,2004,200401,0.0551,0.0744,0.5220,0.0753,-9999,0.183,0.137,0.123,0.215,-9999
10/5/2003,1,10,2004,200401,0.0514,0.0743,0.5195,0.0751,-9999,0.180,0.136,0.121,0.219,-9999
10/6/2003,1,10,2004,200401,0.0492,0.0730,0.5144,0.0722,-9999,0.177,0.133,0.119,0.219,-9999
10/7/2003,1,10,2004,200401,0.0477,0.0732,0.5154,0.0723,-9999,0.175,0.132,0.118,0.221,-9999
10/8/2003,1,10,2004,200401,0.0475,0.0730,0.5135,0.0730,-9999,0.174,0.131,0.116,0.221,-9999
10/9/2003,1,10,2004,200401,0.0472,0.0726,0.5121,0.0758,-9999,0.172,0.128,0.114,0.219,-9999
10/10/2003,1,10,2004,200401,0.0500,0.0747,0.5193,0.0780,-9999,0.184,0.130,0.115,0.229,-9999
10/11/2003,1,10,2004,200401,0.0487,0.0718,0.5085,0.0744,-9999,0.189,0.129,0.113,0.228,-9999
10/12/2003,1,10,2004,200401,0.0432,0.0712,0.5049,0.0731,-9999,0.172,0.126,0.111,0.224,-9999
10/13/2003,1,10,2004,200401,0.0431,0.0712,0.5035,0.0738,-9999,0.171,0.124,0.109,0.223,-9999
10/14/2003,1,10,2004,200401,0.0400,0.0699,0.4994,0.0706,-9999,0.170,0.124,0.109,0.236,-9999
10/15/2003,1,10,2004,200401,0.0391,0.0704,0.5001,0.0720,-9999,0.171,0.123,0.108,0.225,-9999
10/16/2003,1,10,2004,200401,0.0390,0.0701,0.4966,0.0726,-9999,0.170,0.121,0.106,0.224,-9999
10/17/2003,1,10,2004,200401,0.0363,0.0689,0.4916,0.0691,-9999,0.169,0.118,0.105,0.223,-9999
10/18/2003,1,10,2004,200401,0.0346,0.0680,0.4885,0.0686,-9999,0.180,0.118,0.105,0.224,-9999
10/19/2003,1,10,2004,200401,0.0335,0.0673,0.4861,0.0680,-9999,0.179,0.116,0.102,0.223,-9999
