Watershed,Sampling date,"Water
discharge L.s-1",pH,"Ca2+
µmol.L-1","Mg2+
µmol.L-1","K+
µmol.L-1",Na+ µmol.L-1,
P301,10/16/2003,0.45,6.28,346.62,70.69,27.09,152.24,
P301,11/4/2003,1.28,7.75,290.38,58.92,32.74,136.93,
P301,11/8/2003,2.22,7.5,254.35,55.71,42.12,133.32,
P301,11/9/2003,8.15,6.86,247.97,50.52,43.05,136.10,
P301,11/10/2003,2.35,7.47,250.01,53.49,30.13,138.97,
P301,11/11/2003,1.67,7.44,263.09,53.90,27.29,139.02,
P301,11/11/2003,1.67,7.38,266.23,54.23,28.54,140.32,
P301,11/12/2003,1.46,7.4,280.25,54.97,26.32,136.84,
P301,11/26/2003,1.35,8.1,266.28,52.33,22.81,132.06,
P301,12/7/2003,9.66,7.1,230.55,43.45,30.67,124.88,
P301,12/7/2003,9.66,7.14,241.53,49.70,27.19,124.84,
P301,12/7/2003,9.66,7.16,207.99,43.78,41.03,124.79,
P301,12/7/2003,9.66,7.29,201.21,40.81,33.79,122.58,
P301,12/7/2003,9.66,7.01,200.11,41.31,30.10,122.58,
P301,12/8/2003,2.62,7.19,222.57,46.25,24.37,129.67,
P301,12/21/2003,4.37,7.93,206.40,43.78,25.81,120.92,
P301,12/22/2003,2.92,7.46,215.73,45.42,23.91,128.88,
P301,12/24/2003,24.10,7.13,167.62,36.21,36.88,120.62,
P301,12/24/2003,24.10,7.53,216.88,46.57,42.51,133.88,
P301,12/24/2003,24.10,7.09,169.07,36.12,35.40,117.66,
P301,12/24/2003,24.10,7.9,213.98,47.40,36.19,127.01,
P301,12/24/2003,24.10,7.29,163.68,34.40,31.31,106.26,
P301,12/30/2003,4.79,7.37,194.07,40.81,22.74,117.01,
P301,1/12/2004,4.34,8.05,208.24,43.45,23.20,128.19,
P301,1/20/2004,3.97,7.65,207.25,44.27,22.76,126.10,
P301,2/4/2004,3.63,7.44,228.35,46.33,22.33,125.49,
P301,2/4/2004,3.63,NaN,247.17,49.54,21.97,131.97,
P301,2/16/2004,6.64,6.74,213.68,42.71,24.32,113.92,
P301,2/16/2004,6.64,6.79,220.77,44.19,23.51,117.53,
P301,2/18/2004,6.76,7.22,212.69,42.87,23.04,111.87,
P301,2/25/2004,13.89,NaN,195.82,40.32,24.76,103.52,
P301,2/25/2004,13.89,6.79,184.69,36.04,25.68,92.04,
P301,2/25/2004,13.89,6.8,201.21,39.00,28.11,99.74,
P301,2/25/2004,13.89,NaN,196.17,39.99,27.65,102.70,
P301,2/26/2004,17.45,NaN,203.55,42.13,23.30,108.92,
P301,3/19/2004,26.40,7.26,191.78,36.62,20.54,98.61,
P301,3/19/2004,26.40,7.14,197.76,38.26,21.33,102.57,
P301,3/20/2004,27.26,7.15,187.09,35.80,22.97,97.43,
P301,3/21/2004,27.51,6.69,215.68,52.42,22.76,105.92,
P301,3/28/2004,20.89,7.31,202.01,38.84,20.79,101.04,
P301,4/1/2004,19.48,7.05,192.72,37.03,30.62,96.74,
P301,4/1/2004,19.48,NaN,204.20,39.33,20.82,99.22,
P301,4/7/2004,20.04,7.36,201.31,38.02,20.49,102.57,
P301,4/15/2004,15.82,6.89,208.44,39.66,20.36,105.13,
P301,4/15/2004,15.82,6.89,207.99,39.50,20.51,105.87,
P301,4/17/2004,15.06,7.36,205.70,39.09,19.87,105.65,
P301,4/20/2004,14.30,7.22,210.99,40.16,20.00,109.22,
P301,4/23/2004,12.98,7.25,194.62,37.52,19.28,102.09,
P301,4/27/2004,11.90,6.96,204.75,39.50,20.46,105.61,
P301,5/4/2004,8.25,7.19,218.27,42.05,21.28,111.61,
P301,5/11/2004,6.79,7.07,217.58,43.12,20.00,111.05,
P301,5/20/2004,5.43,7.4,224.96,43.78,19.98,113.44,
P301,5/26/2004,5.07,7.38,228.30,44.68,20.00,115.79,
P301,6/9/2004,3.90,NaN,246.07,48.06,21.00,121.71,
P301,6/22/2004,2.93,7.16,255.50,49.95,25.12,128.01,
P301,6/23/2004,2.84,NaN,233.64,42.05,20.03,123.23,
P301,7/9/2004,1.82,7.37,270.57,53.65,24.45,131.84,
P301,7/28/2004,0.90,6.87,293.33,58.92,26.98,137.36,
P301,8/13/2004,0.46,7.03,307.50,63.44,27.01,142.50,
P301,9/1/2004,0.22,6.91,384.60,79.98,30.44,159.94,
P301,9/30/2004,0.15,6.89,412.30,86.40,30.39,154.55,
P301,10/17/2004,0.50,7.12,323.72,69.04,54.38,166.90,
P301,10/17/2004,0.50,6.95,359.25,85.91,55.58,171.25,
P301,10/18/2004,1.45,6.74,273.37,56.61,34.76,149.20,
P301,10/20/2004,12.11,6.97,207.20,41.39,37.27,127.10,
P301,10/31/2004,3.81,7.39,207.25,42.54,43.25,129.14,
P301,11/7/2004,3.71,7.45,207.15,42.79,23.84,131.97,
P301,11/10/2004,3.96,7.19,201.36,40.24,20.79,119.57,
P301,11/22/2004,2.94,7.03,212.93,44.02,113.20,126.49,
P301,12/10/2004,3.52,6.51,209.19,43.86,21.38,122.71,
P301,12/20/2004,3.01,7.05,212.93,44.27,20.54,129.84,
P301,12/28/2004,5.16,7.11,208.39,43.78,21.79,115.31,
P301,1/6/2005,3.48,7.2,233.00,48.88,26.88,134.93,
P301,1/12/2005,20.08,6.72,224.51,46.57,23.07,119.18,
P301,2/10/2005,11.48,6.97,236.39,48.63,22.18,129.01,
P301,2/20/2005,21.39,NaN,229.45,47.15,22.28,127.01,
P301,3/3/2005,19.43,7.39,240.63,49.78,22.28,125.84,
P301,3/15/2005,33.74,7.21,214.43,43.78,19.57,111.00,
P301,3/19/2005,46.51,6.93,216.23,44.27,26.22,109.79,
P301,3/22/2005,136.04,6.85,183.89,39.00,27.01,81.73,
P301,3/29/2005,54.60,7.17,210.19,43.45,20.36,107.00,
P301,4/4/2005,51.61,7.1,206.85,42.79,19.90,107.53,
P301,4/7/2005,55.84,NaN,205.50,42.38,19.28,104.35,
P301,4/11/2005,49.35,7.1,213.98,43.12,21.46,107.57,
P301,4/12/2005,50.66,7.03,220.22,43.61,20.56,108.48,
P301,4/17/2005,65.42,7.16,203.40,40.73,18.57,101.78,
P301,4/20/2005,57.43,NaN,207.00,40.98,19.16,103.39,
P301,4/23/2005,59.76,6.87,202.80,40.49,17.98,101.26,
P301,4/24/2005,61.43,7.11,202.06,40.57,18.34,101.17,
P301,4/26/2005,61.32,7.11,208.24,40.81,18.59,102.74,
P301,5/1/2005,84.93,6.47,170.52,35.80,20.36,90.08,
P301,5/2/2005,84.43,6.88,178.40,37.19,18.70,96.74,
P301,5/2/2005,84.43,NaN,185.84,46.66,20.61,96.56,
P301,5/4/2005,86.89,6.88,175.86,36.54,18.85,97.43,
P301,5/5/2005,157.26,6.96,161.19,35.30,19.23,79.25,
P301,5/9/2005,238.68,7.04,156.64,34.73,21.64,70.20,
P301,5/9/2005,238.68,7.01,160.54,34.97,18.06,80.60,
P301,5/10/2005,128.50,6.9,170.52,35.55,19.62,83.91,
P301,5/16/2005,237.70,7.28,153.80,33.41,21.13,70.07,
P301,5/17/2005,135.18,7.27,164.68,33.82,19.36,81.82,
P301,5/22/2005,120.51,7.26,157.99,32.09,19.69,85.60,
P301,5/26/2005,98.31,7.05,165.43,33.98,19.21,89.26,
P301,5/27/2005,92.42,NaN,175.01,36.78,20.18,90.39,
P301,6/1/2005,61.05,7.06,197.66,42.79,18.72,100.74,
P301,6/2/2005,57.39,6.76,191.08,39.00,18.21,98.39,
P301,6/2/2005,57.39,NaN,199.11,41.97,20.64,104.57,
P301,6/3/2005,52.62,NaN,201.06,43.20,20.69,107.00,
P301,6/7/2005,41.08,6.92,196.52,40.16,18.16,107.00,
P301,6/16/2005,30.86,7.11,226.71,46.99,19.18,117.66,
P301,6/24/2005,24.41,6.91,235.59,48.30,21.25,128.32,
P301,6/30/2005,19.48,7.05,246.02,50.44,21.66,127.40,
P301,7/21/2005,10.11,7.04,278.96,57.03,25.96,143.45,
P301,8/3/2005,6.64,6.83,292.01,79.00,85.12,147.63,
P301,8/18/2005,4.59,7.04,305.06,65.09,26.42,151.81,
P301,9/6/2005,2.87,6.75,309.60,64.68,26.24,155.50,
P301,9/27/2005,2.70,NaN,277.23,83.11,88.21,151.17,
P301,10/27/2005,2.65,7.02,244.87,58.18,34.38,146.85,
P301,11/16/2005,2.47,6.97,230.10,55.63,24.78,147.06,
P301,11/29/2005,4.18,7.11,207.40,50.03,26.37,140.54,
P301,12/1/2005,11.38,6.79,105.19,24.44,38.62,107.70,
P301,12/2/2005,37.56,7.12,138.88,30.20,31.92,96.48,
P301,12/2/2005,37.56,6.83,118.52,25.59,36.01,88.60,
P301,12/2/2005,37.56,6.82,120.71,26.33,34.17,86.65,
P301,12/2/2005,37.56,6.9,124.11,26.91,33.33,87.52,
P301,12/12/2005,3.35,6.82,172.76,45.92,23.66,136.58,
P301,12/21/2005,9.75,7.02,178.65,42.46,23.86,126.23,
P301,12/27/2005,11.19,7.06,180.05,43.04,24.50,126.23,
P301,12/31/2005,251.61,6.64,91.12,20.57,27.88,55.76,
P301,1/2/2006,209.55,6.95,105.34,24.85,23.97,62.11,
P301,1/24/2006,14.90,6.99,160.99,39.25,22.00,119.44,
P301,2/6/2006,14.94,7.23,192.42,43.12,21.87,118.05,
P301,2/21/2006,13.52,6.91,177.20,42.62,21.02,118.05,
P301,2/27/2006,50.24,7.19,181.00,38.10,22.66,113.44,
P301,2/27/2006,50.24,7.27,138.73,31.43,21.15,86.04,
P301,2/27/2006,50.24,7.23,129.50,29.29,20.97,78.95,
P301,2/28/2006,193.44,7.22,136.13,30.69,21.05,72.77,
P301,3/1/2006,59.47,6.98,154.50,33.74,19.98,91.95,
P301,3/7/2006,31.43,7.07,162.98,37.52,19.67,105.52,
P301,3/14/2006,22.80,7.56,160.69,35.05,14.32,87.82,
P301,3/29/2006,42.56,7.43,192.87,42.38,20.38,110.35,
P301,4/3/2006,178.17,NaN,173.31,38.68,20.26,93.43,
P301,4/4/2006,306.21,NaN,146.26,34.15,24.37,64.29,
P301,4/4/2006,306.21,NaN,138.83,32.34,24.35,58.72,
P301,4/5/2006,150.15,NaN,159.69,36.78,23.04,77.25,
P301,4/12/2006,95.73,NaN,176.71,39.00,21.23,95.61,
P301,5/2/2006,180.05,6.65,152.70,33.74,20.82,80.73,
P301,5/17/2006,87.58,6.88,162.28,35.14,19.46,89.04,
P301,5/31/2006,41.16,6.71,183.34,41.39,19.77,106.31,
P301,6/14/2006,25.08,6.78,213.33,46.08,19.54,114.88,
P301,7/12/2006,10.40,6.74,244.17,51.68,21.87,133.62,
P301,7/23/2006,10.13,7.13,256.60,56.37,52.84,130.19,
P301,8/17/2006,3.49,6.65,234.14,46.25,20.23,116.62,
P301,9/18/2006,1.88,6.53,276.51,59.49,27.34,148.46,
P301,10/1/2006,1.93,6.78,275.21,61.39,33.10,152.94,
P301,10/2/2006,2.23,6.62,268.78,59.66,33.89,153.11,
P301,11/14/2006,3.09,7.03,262.69,58.34,33.20,147.76,
P301,11/29/2006,1.64,6.53,251.36,56.86,25.14,137.93,
P301,12/12/2006,2.27,6.91,244.97,54.64,27.75,136.19,
P301,12/12/2006,4.86,7.09,230.80,50.77,30.21,131.54,
P301,12/13/2006,3.11,6.41,240.68,52.50,27.78,134.58,
P301,12/13/2006,3.21,7.14,236.24,52.83,28.03,133.19,
P301,12/26/2006,2.76,7.34,234.29,47.48,26.96,133.75,
P301,12/27/2006,3.76,7.23,229.70,46.16,25.30,130.06,
P301,12/27/2006,5.97,7.37,217.48,43.45,28.95,122.01,
P301,1/4/2007,3.48,7.19,227.71,53.40,25.42,130.06,
P301,1/4/2007,9.19,7.26,200.96,47.48,28.36,118.53,
P301,1/4/2007,7.25,7.3,206.70,48.30,25.91,122.36,
P301,1/5/2007,3.55,7.22,223.07,51.68,24.07,131.93,
P301,1/9/2007,2.54,7.18,231.90,54.39,23.91,135.32,
P301,1/25/2007,2.18,7,220.72,47.73,22.43,133.19,
P301,2/8/2007,2.61,6.42,224.71,51.68,23.17,137.84,
P301,2/10/2007,7.85,7.32,201.11,44.85,27.88,125.49,
P301,2/10/2007,3.41,7.28,221.47,51.59,23.99,136.54,
P301,2/10/2007,7.88,7.31,200.56,43.94,25.35,126.05,
P301,2/10/2007,10.47,7.27,200.61,45.59,28.31,125.01,
P301,2/10/2007,20.93,7.28,182.05,38.76,27.78,115.53,
P301,2/11/2007,57.44,7.21,170.17,36.21,26.27,106.39,
P301,2/13/2007,7.08,7.05,194.72,42.95,22.58,122.18,
P301,2/21/2007,4.83,6.94,207.69,49.54,22.74,130.19,
P301,3/7/2007,6.44,6.91,206.95,42.87,22.76,127.23,
P301,3/20/2007,15.39,6.85,192.42,39.00,22.23,113.01,
P301,3/20/2007,24.63,6.98,178.00,38.10,24.40,100.87,
P301,3/20/2007,20.55,7.16,182.34,38.10,22.99,105.52,
P301,3/21/2007,15.76,6.97,186.29,41.39,21.79,106.35,
P301,4/3/2007,10.53,6.76,195.02,37.28,20.74,113.44,
P301,4/17/2007,6.66,6.72,206.90,39.09,21.15,121.40,
P301,5/1/2007,5.71,6.94,209.14,42.30,22.69,127.53,
P301,5/15/2007,3.59,6.9,227.36,44.44,23.27,133.41,
P301,5/30/2007,2.39,7.22,246.97,51.35,25.01,141.89,
P301,6/11/2007,1.84,6.38,250.01,53.82,24.45,140.32,
P301,7/18/2007,0.42,7.21,309.40,67.48,32.46,169.12,
P301,8/8/2007,0.13,6.67,413.24,92.66,35.32,181.12,
P301,9/13/2007,0.13,6.47,455.56,101.21,35.07,184.47,
P303,11/4/2003,1.31,8.17,403.41,100.64,32.33,177.86,
P303,11/8/2003,1.92,7.75,333.85,86.48,45.27,153.28,
P303,11/9/2003,2.51,8.45,318.43,76.36,39.03,141.10,
P303,11/12/2003,1.35,7.3,402.37,99.57,32.84,179.12,
P303,11/26/2003,1.41,8.24,397.52,98.50,29.18,175.90,
P303,12/6/2003,1.50,7.64,303.16,90.02,31.10,180.25,
P303,12/7/2003,3.00,7.09,376.72,93.89,36.93,167.81,
P303,12/7/2003,3.00,7.78,370.53,91.67,33.22,151.48,
P303,12/7/2003,3.00,7.98,296.82,73.40,39.67,135.15,
P303,12/8/2003,1.68,7.51,374.12,92.82,30.36,179.73,
P303,12/22/2003,2.47,8.18,338.59,86.40,29.69,164.55,
P303,12/22/2003,2.47,7.12,329.71,83.93,30.28,159.33,
P303,1/12/2004,4.30,7.59,289.44,73.98,26.27,147.41,
P303,1/20/2004,4.10,7.82,292.53,75.13,25.99,149.11,
P303,2/4/2004,3.96,7.24,314.59,78.67,26.40,148.37,
P303,2/4/2004,3.96,NaN,303.76,83.77,26.73,159.24,
P303,2/16/2004,8.06,6.79,288.44,71.43,26.80,138.19,
P303,2/18/2004,8.78,7.17,251.16,62.21,25.09,119.62,
P303,2/26/2004,25.91,NaN,267.08,71.10,30.15,138.71,
P303,2/26/2004,25.91,6.82,286.74,73.24,35.19,134.10,
P303,2/26/2004,25.91,NaN,269.67,72.08,32.64,138.71,
P303,2/26/2004,25.91,NaN,266.33,71.01,31.41,139.23,
P303,3/1/2004,8.95,NaN,280.40,71.67,24.55,144.28,
P303,3/28/2004,16.41,7.34,245.47,59.82,24.12,117.09,
P303,4/1/2004,13.88,6.84,248.67,60.98,23.91,117.44,
P303,4/2/2004,14.12,7.49,253.16,62.04,24.84,120.62,
P303,4/4/2004,13.42,7.53,252.26,61.55,24.25,120.36,
P303,4/7/2004,11.92,6.91,257.45,62.70,24.99,124.79,
P303,4/15/2004,8.91,6.64,283.95,66.82,25.41,131.58,
P303,4/15/2004,8.91,6.64,274.66,66.65,25.83,131.84,
P303,4/16/2004,8.78,7.31,277.26,66.98,25.81,132.27,
P303,4/20/2004,8.77,7.08,275.36,66.82,25.22,131.36,
P303,4/23/2004,7.84,7.36,263.49,65.91,25.65,140.54,
P303,4/27/2004,6.56,6.71,267.68,66.90,26.50,130.19,
P303,5/4/2004,5.43,6.9,281.40,69.94,27.06,135.02,
P303,5/11/2004,5.03,6.9,287.34,71.75,26.50,137.19,
P303,5/20/2004,4.34,6.87,295.57,73.32,27.21,139.89,
P303,5/26/2004,4.12,7.08,299.92,74.80,27.85,158.11,
P303,6/9/2004,3.41,NaN,313.49,75.05,27.44,156.72,
P303,6/22/2004,2.55,6.91,342.48,84.92,31.48,177.86,
P303,7/9/2004,1.80,7.05,384.15,92.08,37.32,188.78,
