WY,year,month,P,NFQ,SFQ,NFPET,SFPET
1962,1962,8,49,2,3,90,83
1962,1962,9,23,1,2,79,74
1963,1962,10,201,3,5,56,54
1963,1962,11,109,17,21,36,38
1963,1962,12,133,98,98,27,28
1963,1963,1,123,32,42,27,29
1963,1963,2,96,93,77,31,33
1963,1963,3,160,54,62,39,40
1963,1963,4,271,198,203,50,51
1963,1963,5,32,20,19,66,66
1963,1963,6,2,8,9,84,78
1963,1963,7,0,4,5,94,86
1963,1963,8,1,2,3,90,83
1963,1963,9,2,1,2,79,74
1964,1963,10,130,4,6,56,54
1964,1963,11,293,108,115,36,38
1964,1963,12,53,19,18,27,28
1964,1964,1,235,165,163,27,29
1964,1964,2,13,18,15,31,33
1964,1964,3,87,15,14,39,40
1964,1964,4,4,8,8,50,51
1964,1964,5,34,5,5,66,66
1964,1964,6,12,3,3,84,78
1964,1964,7,3,2,2,94,86
1964,1964,8,2,1,1,90,83
1964,1964,9,1,1,1,79,74
1965,1964,10,78,1,2,56,54
1965,1964,11,314,41,69,36,38
1965,1964,12,423,384,373,27,28
1965,1965,1,163,158,139,27,29
1965,1965,2,46,27,26,31,33
1965,1965,3,65,15,16,39,40
1965,1965,4,122,64,65,50,51
1965,1965,5,2,12,10,66,66
1965,1965,6,3,6,6,84,78
1965,1965,7,2,3,4,94,86
1965,1965,8,6,2,2,90,83
1965,1965,9,2,1,2,79,74
1966,1965,10,13,1,2,56,54
1966,1965,11,258,26,36,36,38
1966,1965,12,126,29,42,27,28
1966,1966,1,272,241,234,27,29
1966,1966,2,146,75,83,31,33
1966,1966,3,99,76,68,39,40
1966,1966,4,59,24,30,50,51
1966,1966,5,2,8,8,66,66
1966,1966,6,1,4,5,84,78
1966,1966,7,1,2,3,94,86
1966,1966,8,4,1,2,90,83
1966,1966,9,8,1,1,79,74
1967,1966,10,0,1,1,56,54
1967,1966,11,284,40,46,36,38
1967,1966,12,172,115,116,27,28
1967,1967,1,269,176,184,27,29
1967,1967,2,21,37,30,31,33
1967,1967,3,278,130,135,39,40
1967,1967,4,196,148,141,50,51
1967,1967,5,32,23,22,66,66
1967,1967,6,10,9,10,84,78
1967,1967,7,1,4,6,94,86
1967,1967,8,0,2,4,90,83
1967,1967,9,5,1,2,79,74
1968,1967,10,83,3,4,56,54
1968,1967,11,112,5,8,36,38
1968,1967,12,161,37,48,27,28
1968,1968,1,239,105,119,27,29
1968,1968,2,161,128,136,31,33
1968,1968,3,122,66,66,39,40
1968,1968,4,24,12,13,50,51
1968,1968,5,38,6,8,66,66
1968,1968,6,1,3,5,84,78
1968,1968,7,1,2,3,94,86
1968,1968,8,16,1,2,90,83
1968,1968,9,10,1,2,79,74
1969,1968,10,56,1,2,56,54
1969,1968,11,144,6,10,36,38
1969,1968,12,372,170,189,27,28
