site,Nickname,Plot,Elev (ft),lat,lon
Eldorado-3000-Plot 1-Site 1,Darling Ridge,Eldorado-3000-Plot 1-Site 1,3098,38.89488236174718,-120.76617524928619
Eldorado-3000-Plot 2-Site 1,Darling Ridge,Eldorado-3000-Plot 2-Site 1,3065,38.89575669743661,-120.76619396449713
Eldorado-3000-Plot 3-Site 1,Darling Ridge,Eldorado-3000-Plot 3-Site 1,3065,38.89678557704694,-120.76534309606761
Eldorado-3000-Plot 4-Site 1,Darling Ridge,Eldorado-3000-Plot 4-Site 1,3105,38.897311997983174,-120.76507293092527
Eldorado-3000-Plot 5-Site 1,Darling Ridge,Eldorado-3000-Plot 5-Site 1,3048,38.89688498286651,-120.76441758897624
Eldorado-3000-Plot 6-Site 2,Liddicoat Springs,Eldorado-3000-Plot 6-Site 2,3804,38.5424214542566,-120.52416275457065
Eldorado-3000-Plot 7-Site 2,Liddicoat Springs,Eldorado-3000-Plot 7-Site 2,3788,38.541375757598466,-120.52499021766097
Eldorado-3000-Plot 8-Site 2,Liddicoat Springs,Eldorado-3000-Plot 8-Site 2,3697,38.539150123261116,-120.52541069414194
Eldorado-3000-Plot 9-Site 2,Liddicoat Springs,Eldorado-3000-Plot 9-Site 2,3655,38.5391823955467,-120.52651089972427
Eldorado-3000-Plot 10-Site 2,Liddicoat Springs,Eldorado-3000-Plot 10-Site 2,3594,38.53843274774143,-120.52813117990105
Eldorado-3000-Plot 11-Site 3,Barney Ridge North,Eldorado-3000-Plot 11-Site 3,3970,38.555733611494965,-120.53417080908206
Eldorado-3000-Plot 12-Site 3,Barney Ridge North,Eldorado-3000-Plot 12-Site 3,3828,38.557362433822014,-120.53322008737027
Eldorado-3000-Plot 13-Site 3,Barney Ridge North,Eldorado-3000-Plot 13-Site 3,3827,38.557980657398595,-120.5322006199097
Eldorado-3000-Plot 14-Site 3,Barney Ridge North,Eldorado-3000-Plot 14-Site 3,3795,38.558821198105875,-120.53189645926626
Eldorado-3000-Plot 15-Site 3,Barney Ridge North,Eldorado-3000-Plot 15-Site 3,3813,38.5579211760932,-120.53108958033145
Eldorado-4000-Plot 1-Site 1,Panther Creek Below,Eldorado-4000-Plot 1-Site 1,4780,38.52789055831982,-120.35942372263129
Eldorado-4000-Plot 2-Site 1,Panther Creek Below,Eldorado-4000-Plot 2-Site 1,4921,38.52940655143098,-120.35912740664348
Eldorado-4000-Plot 3-Site 1,Panther Creek Below,Eldorado-4000-Plot 3-Site 1,4891,38.528724068222104,-120.35842975970982
Eldorado-4000-Plot 4-Site 1,Panther Creek Below,Eldorado-4000-Plot 4-Site 1,4882,38.528589124845745,-120.35724181937626
Eldorado-4000-Plot 5-Site 1,Panther Creek Below,Eldorado-4000-Plot 5-Site 1,4906,38.52756830016705,-120.35592574547326
Eldorado-4000-Plot 6-Site 2,Power/7N03,Eldorado-4000-Plot 6-Site 2,4623,38.48283862856387,-120.34023031421913
Eldorado-4000-Plot 7-Site 2,Power/7N03,Eldorado-4000-Plot 7-Site 2,4715,38.48376614045934,-120.34020766441611
Eldorado-4000-Plot 8-Site 2,Power/7N03,Eldorado-4000-Plot 8-Site 2,4689,38.48397939061685,-120.34126586588603
Eldorado-4000-Plot 9-Site 2,Power/7N03,Eldorado-4000-Plot 9-Site 2,4718,38.48366366480189,-120.342836414096
Eldorado-4000-Plot 10-Site 2,Power/7N03,Eldorado-4000-Plot 10-Site 2,4697,38.48339604776775,-120.34454273549125
Eldorado-4000-Plot 11-Site 3,Plum Creek,Eldorado-4000-Plot 11-Site 3,4362,38.74813984884818,-120.4078954424394
Eldorado-4000-Plot 12-Site 3,Plum Creek,Eldorado-4000-Plot 12-Site 3,4332,38.74754043012067,-120.40849238715911
Eldorado-4000-Plot 13-Site 3,Plum Creek,Eldorado-4000-Plot 13-Site 3,4298,38.74774623319124,-120.40964696236205
Eldorado-4000-Plot 14-Site 3,Plum Creek,Eldorado-4000-Plot 14-Site 3,4314,38.74841098349183,-120.41037076713025
Eldorado-4000-Plot 15-Site 3,Plum Creek,Eldorado-4000-Plot 15-Site 3,4398,38.74908131571163,-120.40890836375587
Eldorado-5000-Plot 1-Site 1,Panther Creek Above,Eldorado-5000-Plot 1-Site 1,5571,38.54056508692093,-120.34776350695785
Eldorado-5000-Plot 2-Site 1,Panther Creek Above,Eldorado-5000-Plot 2-Site 1,5522,38.54076643814156,-120.34988987973892
Eldorado-5000-Plot 3-Site 1,Panther Creek Above,Eldorado-5000-Plot 3-Site 1,5428,38.5398318268533,-120.35039453991162
Eldorado-5000-Plot 4-Site 1,Panther Creek Above,Eldorado-5000-Plot 4-Site 1,5281,38.53842970098107,-120.35014775349566
Eldorado-5000-Plot 5-Site 1,Panther Creek Above,Eldorado-5000-Plot 5-Site 1,5297,38.53860282848753,-120.34904012835476
