id,workbook_description,csv_description,archived_description,description_matches,selected_description
179,sandstone hole 31,sandstone hole 31,sandstone hole 31,True,sandstone hole 31
180,"sonic anemometer, offset 1m upslope","sonic anemometer, offset 1m upslope","sonic anemometer, offset 1m upslope",True,"sonic anemometer, offset 1m upslope"
181,level 4 TDR nest in road cut; offset 1m upslope east of where cables go in ground,level 4 TDR nest in road cut; offset 1m upslope east of where cables go in ground,level 4 TDR nest in road cut; offset 1m upslope east of where cables go in ground,True,level 4 TDR nest in road cut; offset 1m upslope east of where cables go in ground
182,level 4 TDR nest in road cut; sensor no 22,level 4 TDR nest in road cut; sensor no 22,level 4 TDR nest in road cut; sensor no 22,True,level 4 TDR nest in road cut; sensor no 22
183,level 4 TDR,level 4 TDR,level 4 TDR,True,level 4 TDR
184,well 6,well 6,well 6,True,well 6
185,Hobo pro v2 temp rh,Hobo pro v2 temp rh,Hobo pro v2 temp rh,True,Hobo pro v2 temp rh
186,well 5; 30 cm north of measurement point,well 5; 30 cm north of measurement point,well 5; 30 cm north of measurement point,True,well 5; 30 cm north of measurement point
187,tree sap flow delta box,tree sap flow delta box,tree sap flow delta box,True,tree sap flow delta box
188,well 14,well 14,well 14,True,well 14
189,tree tag 615,tree tag 615,tree tag 615,True,tree tag 615
190,tree tag 614; offset 50cm,tree tag 614; offset 50cm,tree tag 614; offset 50cm,True,tree tag 614; offset 50cm
191,tree tag 613,tree tag 613,tree tag 613,True,tree tag 613
192,tree tag 611,tree tag 611,tree tag 611,True,tree tag 611
193,tree red tape. sampled no tag,tree red tape. sampled no tag,tree red tape. sampled no tag,True,tree red tape. sampled no tag
194,trail,trail,trail,True,trail
195,tree tag 610,tree tag 610,tree tag 610,True,tree tag 610
196,trail,trail,trail,True,trail
197,tree tag 609,tree tag 609,tree tag 609,True,tree tag 609
198,"Pink flag w13_0, 0-40cm","Pink flag w13_0, 0-40cm","Pink flag w13_0, 0-40cm",True,"Pink flag w13_0, 0-40cm"
199,trail,trail,trail,True,trail
200,"pink flag soil sample w13_02, 0-40cm","pink flag soil sample w13_02, 0-40cm","pink flag soil sample w13_02, 0-40cm",True,"pink flag soil sample w13_02, 0-40cm"
201,"pink flag soil sample, 0-40cm","pink flag soil sample, 0-40cm","pink flag soil sample, 0-40cm",True,"pink flag soil sample, 0-40cm"
202,well 13,well 13,well 13,True,well 13
203,tree tag 608,tree tag 608,tree tag 608,True,tree tag 608
204,tree tag 606,tree tag 606,tree tag 606,True,tree tag 606
205,tdr level 253,tdr level 253,tdr level 253,True,tdr level 253
206,ERP level 2,ERP level 2,ERP level 2,True,ERP level 2
207,top of ladder,top of ladder,top of ladder,True,top of ladder
208,well 2,well 2,well 2,True,well 2
209,"jasper tree re-1 yew tag17, and temp RH meter","jasper tree re-1 yew tag17, and temp RH meter","jasper tree re-1 yew tag17, and temp RH meter",True,"jasper tree re-1 yew tag17, and temp RH meter"
210,level 2 new rain gauge,level 2 new rain gauge,level 2 new rain gauge,True,level 2 new rain gauge
211,level 2 old rain gauge,level 2 old rain gauge,level 2 old rain gauge,True,level 2 old rain gauge
212,datalogger boxes,datalogger boxes,datalogger boxes,True,datalogger boxes
213,L2S3 TDR,L2S3 TDR,L2S3 TDR,True,L2S3 TDR
214,datalogger hut,datalogger hut,datalogger hut,True,datalogger hut
215,ERP level 2,ERP level 2,ERP level 2,True,ERP level 2
216,old level 2 rain gauge,old level 2 rain gauge,old level 2 rain gauge,True,old level 2 rain gauge
