,month,year,creek,mean_daily_q_mm_day,pred_use_mm_day,farm_use_percentile,pred_monthly_use0.25cover,pred_monthly_use1cover,pred_monthly_use2.5cover,pred_monthly_use4.5cover
1,1,2016,Dry Creek,22.89893267,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
2,1,2016,Dry Creek,22.89893267,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
3,1,2016,Dry Creek,22.89893267,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
4,1,2016,Dry Creek,22.89893267,8.601043925,0.95,0.02150261,0.086010439,0.215026098,0.387046977
5,1,2017,Dry Creek,24.43755304,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
6,1,2017,Dry Creek,24.43755304,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
7,1,2017,Dry Creek,24.43755304,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
8,1,2017,Dry Creek,24.43755304,8.601043925,0.95,0.02150261,0.086010439,0.215026098,0.387046977
9,1,2018,Dry Creek,10.67784026,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
10,1,2018,Dry Creek,10.67784026,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
11,1,2018,Dry Creek,10.67784026,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
12,1,2018,Dry Creek,10.67784026,8.601043925,0.95,0.02150261,0.086010439,0.215026098,0.387046977
13,1,2019,Dry Creek,13.423597,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
14,1,2019,Dry Creek,13.423597,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
15,1,2019,Dry Creek,13.423597,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
16,1,2019,Dry Creek,13.423597,8.601043925,0.95,0.02150261,0.086010439,0.215026098,0.387046977
17,1,2019,Elder,9.235891008,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
18,1,2019,Elder,9.235891008,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
19,1,2019,Elder,9.235891008,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
20,1,2019,Elder,9.235891008,8.601043925,0.95,0.02150261,0.086010439,0.215026098,0.387046977
21,1,2016,Elder,14.90938089,4.942445023,0.5,0.012356113,0.04942445,0.123561126,0.222410026
22,1,2016,Elder,14.90938089,5.909753982,0.75,0.014774385,0.05909754,0.14774385,0.265938929
23,1,2016,Elder,14.90938089,7.454850733,0.9,0.018637127,0.074548507,0.186371268,0.335468283
