,00000000,11472200,11475560,11475800,11478500
1981-01-01,0.3840204075891145,0.3515986625122969,0.0,0.006040808184547443,0.0
1981-01-02,0.0,0.0,0.0,0.0,0.0
1981-01-03,12.104183488962603,8.53376543822409,15.975342811341305,12.593795995760443,4.704043943586955
1981-01-04,8.105673536962392,8.01644448910478,12.251063787604709,9.097623009344545,12.360689086020992
1981-01-05,0.0,0.0,0.0,0.003950605998615348,0.0
1981-01-06,0.0,0.0,0.0,0.0,0.0
1981-01-07,0.0,0.0,0.0,0.0,0.0
1981-01-08,0.0,0.0,0.0,0.0,0.0
1981-01-09,0.0,0.0,0.0,0.0,0.0
1981-01-10,0.0,0.0,0.0,0.0,0.0
1981-01-11,0.0,0.0,0.0,0.0,0.0
1981-01-12,0.0,0.0,0.0,0.0,0.0
1981-01-13,0.0,0.0,0.0,0.0,0.0
1981-01-14,0.0,0.0,0.0,0.0,0.0
1981-01-15,0.0,0.0,0.0,0.0,0.0
1981-01-16,12.374428573919804,10.227434228522512,14.272075789858144,11.993007180570348,15.907338586114056
1981-01-17,13.6263062613351,12.754972345391954,18.5830670162976,15.823454224750241,12.957631447323191
1981-01-18,2.9507755941274216,2.5991534564193084,15.785438818760602,8.146418630546991,7.599165072010512
1981-01-19,12.606122425624305,11.744033351925507,16.835175183664756,14.112960255555432,13.666093733797108
1981-01-20,4.871469332247365,5.004828960028091,12.56454215866636,8.604025709508646,6.3540354429412975
1981-01-21,4.7845918694321,3.943527419397182,13.376820674455498,8.401759252644547,11.377129884441295
1981-01-22,48.159958897804735,44.710361416006705,53.83997907296595,51.49257782598938,41.456990419343164
1981-01-23,21.32816322482362,22.037331979147876,47.99116034336774,33.42689155732743,29.245208100198777
1981-01-24,6.79710205233827,7.486765508521136,5.871772842103266,5.43636523444243,5.142836577570691
1981-01-25,0.0,0.0,0.0,0.0,0.0
1981-01-26,14.885469533959217,13.696367641048868,13.634111366423953,13.16697148323059,12.878083633393084
1981-01-27,63.56342829490196,55.88668606802938,72.63022911406134,62.98097751887156,44.37145168045027
1981-01-28,71.63848861382932,61.6439042422321,107.36907068381745,84.71334310319686,49.038668409451724
1981-01-29,40.67642842506876,36.71264453012923,46.466497900001556,40.4472675905324,20.35009447350816
1981-01-30,4.508040778490963,3.9669948903118524,7.3427569837684175,5.634985977086154,6.909813718997784
1981-01-31,0.0,0.0,0.0,0.0,0.0
1981-02-01,0.0,0.0,0.0,0.0,0.0
1981-02-02,0.0,0.0,0.0,0.0,0.0
1981-02-03,0.0,0.0,0.0,0.0,0.0
1981-02-04,0.0,0.0,0.0,0.0,0.0
1981-02-05,1.2421632907828506,0.42800623066514293,2.0929004419372377,1.662990004992244,2.7714626486351928
1981-02-06,0.32857143696473573,0.6237914690940544,0.0,0.03769151544143125,1.7639798477939936
1981-02-07,0.0,0.0,0.0,0.0,0.0
1981-02-08,0.0,0.0,0.3737928285541762,0.21326080625404065,0.0
1981-02-09,0.0,0.004175692412496736,0.0,0.0,0.0
1981-02-10,0.0,0.0,0.0,0.0,0.0
1981-02-11,5.989999907357352,4.642618280721537,6.6588286479630785,6.136037163782601,4.078588502356574
1981-02-12,1.1865102150002307,0.6314119173456888,3.2521195544664603,2.1248378968901105,2.379005015232999
1981-02-13,31.021265146683675,25.667007963344986,35.43898078644893,32.82611860005543,23.92753449974784
1981-02-14,59.708591383330685,48.01868454748845,79.16171878647518,67.07599308476303,69.59333494009914
1981-02-15,0.009000000144754139,0.007495642817145724,8.220330648213269,1.3721458584449786,2.228153313359196
1981-02-16,6.276530723182524,1.6454825715689843,17.474394764083314,12.500953067252128,3.542961455321764
1981-02-17,12.096448956703655,12.006054255957178,9.898454039220315,10.548343325769059,20.71555423672781
1981-02-18,0.0,0.0,0.0,0.0,0.00044080268780087253
1981-02-19,5.773918385408363,4.011139590310561,7.155402434299666,6.378886780353505,5.1974954080422195
1981-02-20,3.1862040149922275,2.617639115544595,4.169482167498524,3.375842228284989,10.105018910489886
1981-02-21,0.0,0.0,0.0,0.0,0.0
1981-02-22,0.0,0.0,0.0,0.0,0.0
1981-02-23,0.0,0.0,2.1297170906902783,1.3771634300065818,0.0
1981-02-24,27.926571515141706,21.651133323732367,32.887876381437145,29.45357186384875,23.919231794776195
1981-02-25,19.19759240442393,14.797428784843847,27.50499625794916,22.399779003605687,13.177549832693844
1981-02-26,33.98234690452109,24.33461759471092,38.83149121956997,35.6543332207805,36.26493005444241
1981-02-27,10.810734593138404,7.950899956273098,24.90075331000218,16.30714025218077,17.696304072504457
1981-02-28,0.0015714285629136223,0.009039837936008419,2.0887649477240573,1.0000572701833665,0.9763782566995752
1981-03-01,0.8212040747914996,0.9359122319196268,0.47062948642973873,0.5350644444305487,0.9073324361838891
1981-03-02,0.0,0.0,0.0,0.0,0.0
1981-03-03,0.0,0.0,0.0,0.0,0.0
1981-03-04,26.699245024700556,25.60989484243812,27.21749422749675,26.923945920924947,26.76890046854349
1981-03-05,0.0,0.0,0.0,0.0,0.9242803803255726
1981-03-06,0.0,0.0,0.0,0.0,0.0
1981-03-07,4.11881634653831,3.7242433821490875,4.0780000458675545,3.9179585576539084,3.97658044321747
1981-03-08,0.19951019983510584,0.0986615298615345,0.0,0.020876363115761465,0.10189353470556095
1981-03-09,0.0,0.0,0.0,0.0,0.0
1981-03-10,0.0,0.0,0.0,0.0,0.09439063575487364
1981-03-11,0.0,0.0,0.0,0.0,0.0
1981-03-12,0.0,0.0,0.0,0.0,0.0
1981-03-13,0.0,0.0,0.0,0.0029542424586234666,3.347590161047652
1981-03-14,0.0,0.0,0.0,0.0,1.8689474974853402
1981-03-15,11.752428774930994,8.537143180498708,21.08555336302495,16.813139593914297,5.0063228717748665
1981-03-16,11.901081396608937,13.042040272364542,9.895725018474684,9.39956068997431,20.071807531529046
1981-03-17,0.0,0.0,0.0,0.0,0.0
1981-03-18,0.5986326602952822,0.18547930344483066,4.99962553085084,3.724999776891987,0.0
1981-03-19,8.924285655118982,7.876226851549102,11.972577467382667,10.715244166634298,5.18385381499262
1981-03-20,12.75808163078464,9.36640829287546,20.20320722876317,16.76990195052792,12.684307964563107
1981-03-21,18.084755449878926,16.713073937350487,19.40058977195466,17.423776404255566,15.122337162268733
1981-03-22,7.537142977422597,5.820604756581164,17.371222613817192,11.515432140176946,15.604739929866899
1981-03-23,0.0,0.0,0.0,0.002668484730335573,0.09196131202571901
1981-03-24,0.0,0.0,0.4817728992714824,0.3028219181398926,0.0
1981-03-25,31.268570763724192,27.22378133191447,41.35733541359464,36.6968136560074,22.069192171256287
1981-03-26,26.157101650627297,23.169079008853373,28.364167468006393,24.533225902210578,37.07238062493911
1981-03-27,0.8812653106086109,0.34547557064265116,2.9694144146375923,1.8239452426662341,9.521464420295215
1981-03-28,0.0,0.0,0.0,0.0,0.0
1981-03-29,4.678224476016298,3.658209316870745,8.28756591143361,7.037064906178099,6.964344921877551
1981-03-30,0.007142857249294009,0.00370261435264503,1.2429441947386084,1.027198485681279,8.51522840874118
1981-03-31,0.0,0.004370992941146504,1.0998127358368193,0.6507619180930119,0.0
1981-04-01,9.10400001370177,6.2960863310786905,9.831290757988553,8.796750216821229,13.983514359005323
1981-04-02,0.06116326346195171,0.014682694775969923,3.4173306032006012,1.2131106996280376,2.377817070487484
1981-04-03,0.0,0.0,0.0,0.0,0.3687295482524047
1981-04-04,0.0,0.0,0.0,0.0,0.0
1981-04-05,0.0,0.0,0.0,0.0,0.0
1981-04-06,0.0,0.0,0.0,0.0,0.0
1981-04-07,0.0,0.0,0.0,0.0,0.0
1981-04-08,0.0,0.0,0.0,0.0,0.0
1981-04-09,0.0,0.0,0.0,1.111111163886057e-06,1.1077140472007039
1981-04-10,0.0,0.0,0.0,0.0,0.0
1981-04-11,0.0,0.0,0.003302788955578766,0.005064747539311271,0.0
1981-04-12,0.0,0.0,0.0,0.0008564646636145284,0.6265144931249021
1981-04-13,0.0,0.0,0.0,0.0,0.0
1981-04-14,0.0,0.0,0.0,0.0,0.0
1981-04-15,0.0,0.0,0.0,0.0,0.0
1981-04-16,0.0,0.0,0.0,0.0,0.0
1981-04-17,0.0,0.0,0.0,0.0,0.0
1981-04-18,0.0,0.0,0.0,0.0,0.0
1981-04-19,9.096102033342635,10.005642108519503,7.254613521089592,7.58691372192267,6.903183289594874
1981-04-20,6.4532039798035905,6.678810757934733,5.207262850377664,5.261705641939182,11.738259041721339
1981-04-21,0.0,0.0,0.0,0.0,0.0
1981-04-22,0.0,0.0,0.0,0.0,0.00335328887437897
1981-04-23,0.0,0.0,0.0,0.0,0.0
1981-04-24,0.0,0.0,0.0,0.0,0.0
1981-04-25,0.0,0.0,2.4186453695791172,1.519008580778086,0.0
