time,johnsons_stage_ft,hacienda_cfs
2019-02-24T00:00:00.000-08:00,12.42,7380.0
2019-02-24T00:15:00.000-08:00,12.43,7330.0
2019-02-24T00:30:00.000-08:00,12.41,7370.0
2019-02-24T00:45:00.000-08:00,12.42,7380.0
2019-02-24T01:00:00.000-08:00,12.41,7380.0
2019-02-24T01:15:00.000-08:00,12.41,7360.0
2019-02-24T01:30:00.000-08:00,12.41,7370.0
2019-02-24T01:45:00.000-08:00,12.38,7340.0
2019-02-24T02:00:00.000-08:00,12.39,7360.0
2019-02-24T02:15:00.000-08:00,12.39,7400.0
2019-02-24T02:30:00.000-08:00,12.39,7310.0
2019-02-24T02:45:00.000-08:00,12.39,7300.0
2019-02-24T03:00:00.000-08:00,12.38,7300.0
2019-02-24T03:15:00.000-08:00,12.38,7380.0
2019-02-24T03:30:00.000-08:00,12.37,7280.0
2019-02-24T03:45:00.000-08:00,12.37,7310.0
2019-02-24T04:00:00.000-08:00,12.37,7280.0
2019-02-24T04:15:00.000-08:00,12.37,7220.0
2019-02-24T04:30:00.000-08:00,12.36,7260.0
2019-02-24T04:45:00.000-08:00,12.35,7330.0
2019-02-24T05:00:00.000-08:00,12.33,7260.0
2019-02-24T05:15:00.000-08:00,12.34,7260.0
2019-02-24T05:30:00.000-08:00,12.34,7330.0
2019-02-24T05:45:00.000-08:00,12.34,7280.0
2019-02-24T06:00:00.000-08:00,12.33,7310.0
2019-02-24T06:15:00.000-08:00,12.33,7230.0
2019-02-24T06:30:00.000-08:00,12.33,7270.0
2019-02-24T06:45:00.000-08:00,12.31,7260.0
2019-02-24T07:00:00.000-08:00,12.32,7200.0
2019-02-24T07:15:00.000-08:00,12.32,7230.0
2019-02-24T07:30:00.000-08:00,12.31,7200.0
2019-02-24T07:45:00.000-08:00,12.30,7220.0
2019-02-24T08:00:00.000-08:00,12.32,7200.0
2019-02-24T08:15:00.000-08:00,12.29,7240.0
2019-02-24T08:30:00.000-08:00,12.30,7220.0
2019-02-24T08:45:00.000-08:00,12.30,7190.0
2019-02-24T09:00:00.000-08:00,12.29,7200.0
2019-02-24T09:15:00.000-08:00,12.29,7230.0
2019-02-24T09:30:00.000-08:00,12.29,7210.0
2019-02-24T09:45:00.000-08:00,12.29,7210.0
2019-02-24T10:00:00.000-08:00,12.29,7230.0
2019-02-24T10:15:00.000-08:00,12.27,7170.0
2019-02-24T10:30:00.000-08:00,12.28,7170.0
2019-02-24T10:45:00.000-08:00,12.28,7180.0
2019-02-24T11:00:00.000-08:00,12.26,7210.0
2019-02-24T11:15:00.000-08:00,12.27,7130.0
2019-02-24T11:30:00.000-08:00,12.27,7150.0
2019-02-24T11:45:00.000-08:00,12.27,7170.0
2019-02-24T12:00:00.000-08:00,12.26,7170.0
2019-02-24T12:15:00.000-08:00,12.25,7200.0
2019-02-24T12:30:00.000-08:00,12.26,7110.0
2019-02-24T12:45:00.000-08:00,12.25,7150.0
2019-02-24T13:00:00.000-08:00,12.24,7160.0
