water_year,peak_date,peak_cfs,qualifiers,djf_roni,el_nino_winter
1940,1940-02-28,88400.0,,,
1941,1941-04-05,48100.0,,,
1942,1942-02-06,67800.0,,,
1943,1943-01-22,69200.0,,,
1944,1944-03-04,32000.0,,,
1945,1945-02-01,34600.0,,,
1946,1945-12-28,56800.0,,,
1947,1947-02-12,23600.0,,,
1948,1948-03-24,23400.0,,,
1949,1949-03-12,41400.0,,,
1950,1950-02-05,44900.0,,-1.2,False
1951,1950-12-04,53600.0,,-0.3,False
1952,1951-12-28,41300.0,,0.7,True
1953,1953-01-10,52200.0,,0.4,False
1954,1954-01-17,59900.0,,0.6,True
1955,1954-12-06,13500.0,,-0.1,False
1956,1955-12-23,90100.0,,-0.8,False
1957,1957-02-25,45800.0,,0.0,False
1958,1958-02-25,68700.0,,1.9,True
1959,1959-02-16,48900.0,REGULATED,0.8,True
1960,1960-02-08,63100.0,REGULATED,0.2,False
1961,1961-01-31,33100.0,REGULATED,0.0,False
1962,1962-02-13,57400.0,REGULATED,0.0,False
1963,1963-02-01,71800.0,REGULATED,-0.3,False
1964,1964-01-21,33400.0,REGULATED,1.0,True
1965,1964-12-23,93400.0,REGULATED,-0.2,False
1966,1966-01-05,77000.0,REGULATED,1.5,True
1967,1967-01-21,68400.0,REGULATED,-0.3,False
1968,1968-01-30,40600.0,REGULATED,-0.2,False
1969,1969-01-14,68600.0,REGULATED,1.1,True
1970,1970-01-24,72900.0,REGULATED,0.5,True
1971,1970-12-04,59800.0,REGULATED,-0.9,False
1972,1971-12-27,8990.0,REGULATED,-0.2,False
1973,1973-01-12,62800.0,REGULATED,1.7,True
1974,1974-01-17,74000.0,REGULATED,-1.6,False
1975,1975-02-13,67300.0,REGULATED,-0.1,False
1976,1976-03-01,5260.0,REGULATED,-1.0,False
1977,1977-03-16,1370.0,REGULATED,1.0,True
1978,1978-01-17,65200.0,REGULATED,1.0,True
1979,1979-01-11,26200.0,REGULATED,0.3,False
1980,1980-01-14,59700.0,REGULATED,0.7,True
1981,1981-01-28,35200.0,REGULATED,0.0,False
1982,1981-12-20,67200.0,REGULATED,0.1,False
1983,1983-01-27,71900.0,REGULATED,2.4,True
1984,1983-12-25,55200.0,REGULATED,-0.6,False
1985,1985-02-08,28500.0,REGULATED,-0.8,False
1986,1986-02-18,102000.0,REGULATED,-0.3,False
1987,1987-03-13,26000.0,REGULATED,1.5,True
1988,1988-01-04,35300.0,REGULATED,0.5,True
1989,1989-03-19,23800.0,REGULATED,-1.6,False
1990,1990-01-14,18000.0,REGULATED,0.3,False
1991,1991-03-04,48500.0,REGULATED,0.6,False
1992,1992-02-20,28000.0,REGULATED,2.1,True
1993,1993-01-21,55100.0,REGULATED,0.6,True
1994,1994-02-20,14700.0,REGULATED,0.3,False
1995,1995-01-09,93900.0,REGULATED,1.2,True
1996,1996-02-05,49200.0,REGULATED,-0.9,False
1997,1997-01-01,82100.0,REGULATED,-0.2,False
1998,1998-02-03,56100.0,REGULATED,2.1,True
1999,1999-02-09,37800.0,REGULATED,-1.6,False
2000,2000-02-14,37900.0,REGULATED,-1.5,False
2001,2001-03-05,24700.0,REGULATED,-0.8,False
2002,2002-01-03,44000.0,REGULATED,-0.2,False
2003,2002-12-16,57600.0,REGULATED,0.9,True
2004,2004-02-18,63400.0,REGULATED,0.2,False
2005,2004-12-28,21900.0,REGULATED,0.5,True
2006,2006-01-01,86000.0,REGULATED,-0.9,False
2007,2007-02-11,29800.0,REGULATED,0.6,True
2008,2008-01-05,36600.0,REGULATED,-1.7,False
2009,2009-02-24,22400.0,REGULATED,-1.0,False
2010,2010-01-21,37900.0,REGULATED,1.4,True
2011,2011-03-21,37300.0,REGULATED,-1.4,False
2012,2012-03-28,26800.0,REGULATED,-0.8,False
2013,2012-12-24,38400.0,REGULATED,-0.5,False
2014,2014-02-09,18900.0,REGULATED,-0.4,False
2015,2014-12-12,42900.0,REGULATED,0.5,True
2016,2016-03-11,27500.0,REGULATED,2.1,True
2017,2017-01-11,55100.0,REGULATED,-0.6,False
2018,2018-04-08,14800.0,REGULATED,-1.1,False
2019,2019-02-28,72000.0,REGULATED,0.7,True
2020,2019-12-08,7390.0,REGULATED,0.1,False
2021,2021-02-03,1950.0,REGULATED,-1.3,False
2022,2021-10-25,20800.0,REGULATED,-1.2,False
2023,2023-01-10,36800.0,REGULATED,-0.9,False
2024,2024-02-06,30800.0,REGULATED,1.1,True
2025,2025-02-05,45300.0,REGULATED,-1.1,False
