water_year,time,time_of_day,peak_cfs,qualifiers
1940,1940-02-28,,88400.0,
1941,1941-04-05,,48100.0,
1942,1942-02-06,,67800.0,
1943,1943-01-22,,69200.0,
1944,1944-03-04,,32000.0,
1945,1945-02-01,,34600.0,
1946,1945-12-28,,56800.0,
1947,1947-02-12,,23600.0,
1948,1948-03-24,,23400.0,
1949,1949-03-12,,41400.0,
1950,1950-02-05,,44900.0,
1951,1950-12-04,,53600.0,
1952,1951-12-28,,41300.0,
1953,1953-01-10,,52200.0,
1954,1954-01-17,,59900.0,
1955,1954-12-06,,13500.0,
1956,1955-12-23,,90100.0,
1957,1957-02-25,,45800.0,
1958,1958-02-25,,68700.0,
1959,1959-02-16,,48900.0,REGULATED
1960,1960-02-08,,63100.0,REGULATED
1961,1961-01-31,,33100.0,REGULATED
1962,1962-02-13,,57400.0,REGULATED
1963,1963-02-01,,71800.0,REGULATED
1964,1964-01-21,,33400.0,REGULATED
1965,1964-12-23,,93400.0,REGULATED
1966,1966-01-05,,77000.0,REGULATED
1967,1967-01-21,,68400.0,REGULATED
1968,1968-01-30,,40600.0,REGULATED
1969,1969-01-14,,68600.0,REGULATED
1970,1970-01-24,,72900.0,REGULATED
1971,1970-12-04,,59800.0,REGULATED
1972,1971-12-27,,8990.0,REGULATED
1973,1973-01-12,,62800.0,REGULATED
1974,1974-01-17,,74000.0,REGULATED
1975,1975-02-13,,67300.0,REGULATED
1976,1976-03-01,,5260.0,REGULATED
1977,1977-03-16,,1370.0,REGULATED
1978,1978-01-17,,65200.0,REGULATED
1979,1979-01-11,,26200.0,REGULATED
1980,1980-01-14,,59700.0,REGULATED
1981,1981-01-28,,35200.0,REGULATED
1982,1981-12-20,,67200.0,REGULATED
1983,1983-01-27,,71900.0,REGULATED
1984,1983-12-25,,55200.0,REGULATED
1985,1985-02-08,,28500.0,REGULATED
1986,1986-02-18,,102000.0,REGULATED
1987,1987-03-13,,26000.0,REGULATED
1988,1988-01-04,,35300.0,REGULATED
1989,1989-03-19,,23800.0,REGULATED
1990,1990-01-14,,18000.0,REGULATED
1991,1991-03-04,,48500.0,REGULATED
1992,1992-02-20,,28000.0,REGULATED
1993,1993-01-21,,55100.0,REGULATED
1994,1994-02-20,,14700.0,REGULATED
1995,1995-01-09,,93900.0,REGULATED
1996,1996-02-05,,49200.0,REGULATED
1997,1997-01-01,,82100.0,REGULATED
1998,1998-02-03,,56100.0,REGULATED
1999,1999-02-09,,37800.0,REGULATED
2000,2000-02-14,,37900.0,REGULATED
2001,2001-03-05,,24700.0,REGULATED
2002,2002-01-03,,44000.0,REGULATED
2003,2002-12-16,,57600.0,REGULATED
2004,2004-02-18,,63400.0,REGULATED
2005,2004-12-28,,21900.0,REGULATED
2006,2006-01-01,,86000.0,REGULATED
2007,2007-02-11,,29800.0,REGULATED
2008,2008-01-05,,36600.0,REGULATED
2009,2009-02-24,,22400.0,REGULATED
2010,2010-01-21,,37900.0,REGULATED
2011,2011-03-21,,37300.0,REGULATED
2012,2012-03-28,,26800.0,REGULATED
2013,2012-12-24,,38400.0,REGULATED
2014,2014-02-09,,18900.0,REGULATED
2015,2014-12-12,,42900.0,REGULATED
2016,2016-03-11,,27500.0,REGULATED
2017,2017-01-11,,55100.0,REGULATED
2018,2018-04-08,06:45:00+00:00,14800.0,REGULATED
2019,2019-02-28,03:15:00+00:00,72000.0,REGULATED
2020,2019-12-08,13:30:00+00:00,7390.0,REGULATED
2021,2021-02-03,15:15:00+00:00,1950.0,REGULATED
2022,2021-10-25,20:00:00+00:00,20800.0,REGULATED
2023,2023-01-10,09:45:00+00:00,36800.0,REGULATED
2024,2024-02-06,09:15:00+00:00,30800.0,REGULATED
2025,2025-02-05,19:15:00+00:00,45300.0,REGULATED
