Source.Entity,Site.Code,Year,Date,Q.cfs.calc
SWRCB,CCL,2017,3/17/17,74.5688321
SWRCB,CCL,2017,3/18/17,74.98140452
SWRCB,CCL,2017,3/19/17,73.32248073
SWRCB,CCL,2017,3/20/17,78.54848678
SWRCB,CCL,2017,3/21/17,193.1845597
SWRCB,CCL,2017,3/22/17,231.9742249
SWRCB,CCL,2017,3/23/17,165.6405989
SWRCB,CCL,2017,3/24/17,251.7144969
SWRCB,CCL,2017,3/25/17,195.3228135
SWRCB,CCL,2017,3/26/17,167.705606
SWRCB,CCL,2017,3/27/17,147.8941084
SWRCB,CCL,2017,3/28/17,124.4218108
SWRCB,CCL,2017,3/29/17,110.0649899
SWRCB,CCL,2017,3/30/17,103.9747523
SWRCB,CCL,2017,3/31/17,92.47180318
SWRCB,CCL,2017,4/1/17,83.74577285
SWRCB,CCL,2017,4/2/17,77.32876901
SWRCB,CCL,2017,4/3/17,72.81615961
SWRCB,CCL,2017,4/4/17,68.30967944
SWRCB,CCL,2017,4/5/17,65.04748033
SWRCB,CCL,2017,4/6/17,80.0855519
SWRCB,CCL,2017,4/7/17,181.2670954
SWRCB,CCL,2017,4/8/17,166.4061328
SWRCB,CCL,2017,4/9/17,134.4558393
SWRCB,CCL,2017,4/10/17,128.9428888
SWRCB,CCL,2017,4/11/17,115.8452061
SWRCB,CCL,2017,4/12/17,149.9346907
SWRCB,CCL,2017,4/13/17,207.8699111
SWRCB,CCL,2017,4/14/17,164.1545069
SWRCB,CCL,2017,4/15/17,136.7337017
SWRCB,CCL,2017,4/16/17,124.2308658
SWRCB,CCL,2017,4/17/17,118.5966704
SWRCB,CCL,2017,4/18/17,167.6376203
SWRCB,CCL,2017,4/19/17,145.4112602
SWRCB,CCL,2017,4/20/17,155.7516924
SWRCB,CCL,2017,4/21/17,132.3739153
SWRCB,CCL,2017,4/22/17,117.5539215
SWRCB,CCL,2017,4/23/17,105.0877252
SWRCB,CCL,2017,4/24/17,107.7417274
SWRCB,CCL,2017,4/25/17,96.53601326
SWRCB,CCL,2017,4/26/17,96.02827549
SWRCB,CCL,2017,4/27/17,90.30991392
SWRCB,CCL,2017,4/28/17,83.04847472
SWRCB,CCL,2017,4/29/17,77.23381147
SWRCB,CCL,2017,4/30/17,71.74589705
SWRCB,CCL,2017,5/1/17,67.23811971
SWRCB,CCL,2017,5/2/17,63.15464119
SWRCB,CCL,2017,5/3/17,59.8579933
SWRCB,CCL,2017,5/4/17,56.90820854
SWRCB,CCL,2017,5/5/17,54.85690413
SWRCB,CCL,2017,5/6/17,52.77802016
SWRCB,CCL,2017,5/7/17,50.38921382
SWRCB,CCL,2017,5/8/17,48.4105061
SWRCB,CCL,2017,5/9/17,46.36702868
SWRCB,CCL,2017,5/10/17,44.79849041
SWRCB,CCL,2017,5/11/17,44.97359189
SWRCB,CCL,2017,5/12/17,44.07759875
SWRCB,CCL,2017,5/13/17,42.66314567
SWRCB,CCL,2017,5/14/17,41.07712257
SWRCB,CCL,2017,5/15/17,39.69246071
SWRCB,CCL,2017,5/16/17,39.5745912
SWRCB,CCL,2017,5/17/17,37.86388697
SWRCB,CCL,2017,5/18/17,35.62353748
SWRCB,CCL,2017,5/19/17,34.49028038
SWRCB,CCL,2017,5/20/17,33.59630118
SWRCB,CCL,2017,5/21/17,32.7852845
SWRCB,CCL,2017,5/22/17,31.8818639
SWRCB,CCL,2017,5/23/17,31.39837488
SWRCB,CCL,2017,5/24/17,31.19900044
SWRCB,CCL,2017,5/25/17,30.9897996
SWRCB,CCL,2017,5/26/17,30.60389184
SWRCB,CCL,2017,5/27/17,29.91898639
SWRCB,CCL,2017,5/28/17,29.42951812
SWRCB,CCL,2017,5/29/17,28.98454159
SWRCB,CCL,2017,5/30/17,28.69869085
SWRCB,CCL,2017,5/31/17,27.97572127
SWRCB,CCL,2017,6/1/17,27.4845473
SWRCB,CCL,2017,6/2/17,26.86120069
SWRCB,CCL,2017,6/3/17,26.34587181
SWRCB,CCL,2017,6/4/17,26.01884588
SWRCB,CCL,2017,6/5/17,25.49000478
SWRCB,CCL,2017,6/6/17,24.82957384
SWRCB,CCL,2017,6/7/17,25.10296987
SWRCB,CCL,2017,6/8/17,30.66983168
SWRCB,CCL,2017,6/9/17,27.13185915
SWRCB,CCL,2017,6/10/17,26.57423813
SWRCB,CCL,2017,6/11/17,25.72892759
SWRCB,CCL,2017,6/12/17,25.06327362
SWRCB,CCL,2017,6/13/17,24.45793052
SWRCB,CCL,2017,6/14/17,23.70120348
SWRCB,CCL,2017,6/15/17,22.96180134
SWRCB,CCL,2017,6/16/17,22.50701131
SWRCB,CCL,2017,6/17/17,22.10497043
SWRCB,CCL,2017,6/18/17,21.71966444
SWRCB,CCL,2017,6/19/17,21.41082694
SWRCB,CCL,2017,6/20/17,20.96762005
SWRCB,CCL,2017,6/21/17,20.61567687
SWRCB,CCL,2017,6/22/17,20.34211857
SWRCB,CCL,2017,6/23/17,20.19330503
SWRCB,CCL,2017,6/24/17,19.97414067
SWRCB,CCL,2017,6/25/17,19.80817799
SWRCB,CCL,2017,6/26/17,20.10044026
SWRCB,CCL,2017,6/27/17,19.80343395
SWRCB,CCL,2017,6/28/17,19.35215653
SWRCB,CCL,2017,6/29/17,19.04084352
SWRCB,CCL,2017,6/30/17,18.7415969
SWRCB,CCL,2017,7/1/17,18.69885577
SWRCB,CCL,2017,7/2/17,18.43302122
SWRCB,CCL,2017,7/3/17,18.21333833
SWRCB,CCL,2017,7/4/17,18.21834042
SWRCB,CCL,2017,7/5/17,18.21374301
SWRCB,CCL,2017,7/6/17,17.71217739
SWRCB,CCL,2017,7/7/17,17.35328783
SWRCB,CCL,2017,7/8/17,17.2115636
SWRCB,CCL,2017,7/9/17,16.94310696
SWRCB,CCL,2017,7/10/17,16.97328234
SWRCB,CCL,2017,7/11/17,16.74304187
SWRCB,CCL,2017,7/12/17,16.53793999
SWRCB,CCL,2017,7/13/17,16.46271079
SWRCB,CCL,2017,7/14/17,16.02657854
SWRCB,CCL,2017,7/15/17,15.72767314
SWRCB,CCL,2017,7/16/17,15.74556349
SWRCB,CCL,2017,7/17/17,15.67046243
SWRCB,CCL,2017,7/18/17,15.59938134
SWRCB,CCL,2017,7/19/17,15.47182861
SWRCB,CCL,2017,7/20/17,15.43310969
SWRCB,CCL,2017,7/21/17,15.25252444
SWRCB,CCL,2017,7/22/17,15.00335511
SWRCB,CCL,2017,7/23/17,15.46278383
SWRCB,CCL,2017,7/24/17,15.58217836
SWRCB,CCL,2017,7/25/17,15.31658829
SWRCB,CCL,2017,7/26/17,15.23825192
SWRCB,CCL,2017,7/27/17,14.93494415
SWRCB,CCL,2017,7/28/17,14.95776906
SWRCB,CCL,2017,7/29/17,14.74918108
SWRCB,CCL,2017,7/30/17,14.49216376
SWRCB,CCL,2017,7/31/17,14.37106757
SWRCB,CCL,2017,8/1/17,14.08041186
SWRCB,CCL,2017,8/2/17,13.80350058
SWRCB,CCL,2017,8/3/17,13.76770903
SWRCB,CCL,2017,8/4/17,13.8005138
SWRCB,CCL,2017,8/5/17,13.64527454
SWRCB,CCL,2017,8/6/17,13.57567666
SWRCB,CCL,2017,8/7/17,13.68651538
SWRCB,CCL,2017,8/8/17,13.42871804
SWRCB,CCL,2017,8/9/17,13.53659562
SWRCB,CCL,2017,8/10/17,13.48279137
SWRCB,CCL,2017,8/11/17,13.25935358
SWRCB,CCL,2017,8/12/17,13.09743039
SWRCB,CCL,2017,8/13/17,12.9084363
SWRCB,CCL,2017,8/14/17,12.94014943
SWRCB,CCL,2017,8/15/17,12.84218164
SWRCB,CCL,2017,8/16/17,12.83086096
SWRCB,CCL,2017,8/17/17,12.67394328
SWRCB,CCL,2017,8/18/17,12.44430431
SWRCB,CCL,2017,8/19/17,12.4427844
SWRCB,CCL,2017,8/20/17,12.57292818
SWRCB,CCL,2017,8/21/17,12.79086901
SWRCB,CCL,2017,8/22/17,12.89357123
SWRCB,CCL,2017,8/23/17,12.425386
SWRCB,CCL,2017,8/24/17,12.32195537
SWRCB,CCL,2017,8/25/17,12.32224123
SWRCB,CCL,2017,8/26/17,12.08885473
SWRCB,CCL,2017,8/27/17,11.93109697
SWRCB,CCL,2017,8/28/17,11.82035418
SWRCB,CCL,2017,8/29/17,11.73969288
SWRCB,CCL,2017,8/30/17,11.83980653
SWRCB,CCL,2017,8/31/17,11.61172426
SWRCB,CCL,2017,9/1/17,11.20920911
SWRCB,CCL,2017,9/2/17,11.10776281
SWRCB,CCL,2017,9/3/17,11.05388535
SWRCB,CCL,2017,9/4/17,11.09765021
SWRCB,CCL,2017,9/5/17,11.18711373
SWRCB,CCL,2017,9/6/17,11.28810428
SWRCB,CCL,2017,9/7/17,11.59696291
SWRCB,CCL,2017,9/8/17,11.62827646
SWRCB,CCL,2017,9/9/17,11.54450974
SWRCB,CCL,2017,9/10/17,11.27525037
SWRCB,CCL,2017,9/11/17,11.04576288
SWRCB,CCL,2017,9/12/17,10.84382636
SWRCB,CCL,2017,9/13/17,11.42219764
SWRCB,CCL,2017,9/14/17,11.46389095
SWRCB,CCL,2017,9/15/17,11.3317078
SWRCB,CCL,2017,9/16/17,11.23301284
SWRCB,CCL,2017,9/17/17,11.16437677
SWRCB,CCL,2017,9/18/17,11.39058752
SWRCB,CCL,2017,9/19/17,11.33607435
SWRCB,CCL,2017,9/20/17,12.6565977
SWRCB,CCL,2017,9/21/17,11.77483373
SWRCB,CCL,2017,9/22/17,11.48140724
SWRCB,CCL,2017,9/23/17,11.10771751
SWRCB,CCL,2017,9/24/17,11.13652892
SWRCB,CCL,2017,9/25/17,10.96761892
SWRCB,CCL,2017,9/26/17,10.93969392
SWRCB,CCL,2017,9/27/17,10.87218738
SWRCB,CCL,2017,9/28/17,10.68823216
SWRCB,CCL,2017,9/29/17,10.7469978
SWRCB,CCL,2017,9/30/17,10.88641559
SWRCB,CCL,2017,10/1/17,10.93197406
SWRCB,CCL,2017,10/2/17,11.00080765
SWRCB,CCL,2017,10/3/17,10.77642803
SWRCB,CCL,2017,10/4/17,10.81685159
SWRCB,CCL,2017,10/5/17,10.63903947
SWRCB,CCL,2017,10/6/17,10.50598799
SWRCB,CCL,2017,10/7/17,10.32782273
SWRCB,CCL,2017,10/8/17,10.39307949
SWRCB,CCL,2017,10/9/17,10.44335758
SWRCB,CCL,2017,10/10/17,10.45075732
SWRCB,CCL,2017,10/11/17,10.53600757
SWRCB,CCL,2017,10/12/17,10.64697328
SWRCB,CCL,2017,10/13/17,10.7676048
SWRCB,CCL,2017,10/14/17,11.27833356
SWRCB,CCL,2017,10/15/17,11.19823151
SWRCB,CCL,2017,10/16/17,11.04316559
SWRCB,CCL,2017,10/17/17,10.93205239
SWRCB,CCL,2017,10/18/17,10.92424919
SWRCB,CCL,2017,10/19/17,12.4476942
SWRCB,CCL,2017,10/20/17,15.54889538
SWRCB,CCL,2017,10/21/17,13.30362655
SWRCB,CCL,2017,10/22/17,13.73279702
SWRCB,CCL,2017,10/23/17,12.29075691
