Date,Antelope Valley Ranch (AVR),Dry Creek,Elder Creek,KREW (P300 gauge),"Paradise, CA",San Dimas Experimental Watershed
1958-01-01,128,341,380,165,298,51
1958-02-01,245,614,675,255,491,183
1958-03-01,98,252,271,319,307,152
1958-04-01,87,223,229,270,254,245
1958-05-01,17,40,43,43,46,15
1958-06-01,14,22,26,5,43,1
1958-07-01,3,8,9,6,8,0
1958-08-01,2,9,14,3,4,13
1958-09-01,2,8,11,51,11,17
1958-10-01,5,15,19,0,28,16
1958-11-01,8,67,92,23,47,9
1958-12-01,34,105,123,25,110,0
1959-01-01,145,449,512,127,330,46
1959-02-01,108,288,341,215,246,100
1959-03-01,13,59,74,11,55,0
1959-04-01,10,18,19,51,60,28
1959-05-01,3,6,8,10,17,4
1959-06-01,0,1,1,0,1,0
1959-07-01,0,0,0,0,0,1
1959-08-01,3,13,14,1,6,1
1959-09-01,50,99,99,75,95,3
1959-10-01,0,14,20,0,1,1
1959-11-01,0,4,5,0,0,16
1959-12-01,40,112,129,34,101,69
1960-01-01,108,267,286,123,296,78
1960-02-01,105,274,300,189,241,69
1960-03-01,57,211,245,73,203,15
1960-04-01,30,93,103,116,103,74
1960-05-01,15,55,66,4,44,7
1960-06-01,0,0,0,0,0,0
1960-07-01,1,1,1,4,4,0
1960-08-01,0,1,1,0,1,0
1960-09-01,1,2,2,3,5,6
1960-10-01,10,47,56,17,29,8
1960-11-01,103,307,349,235,350,112
1960-12-01,81,291,314,46,165,5
1961-01-01,83,191,203,95,151,27
1961-02-01,53,190,232,36,151,1
1961-03-01,61,221,262,84,193,30
1961-04-01,18,68,81,48,77,8
1961-05-01,9,49,62,46,33,2
1961-06-01,4,5,6,3,13,0
1961-07-01,1,2,2,7,1,0
1961-08-01,5,19,22,21,8,12
1961-09-01,12,29,29,8,20,1
1961-10-01,5,40,55,6,27,1
1961-11-01,88,267,297,127,200,75
1961-12-01,79,209,225,108,221,71
1962-01-01,24,90,109,100,93,77
1962-02-01,165,335,347,446,433,230
1962-03-01,60,176,192,103,159,44
1962-04-01,5,31,42,11,37,1
1962-05-01,4,17,21,15,17,28
1962-06-01,2,3,4,1,11,1
1962-07-01,0,1,1,5,0,0
1962-08-01,3,44,65,5,7,0
1962-09-01,6,28,32,10,8,0
1962-10-01,140,329,345,46,362,5
1962-11-01,25,127,170,9,98,0
1962-12-01,73,211,215,37,176,2
1963-01-01,96,176,169,183,188,9
1963-02-01,66,163,189,197,130,89
1963-03-01,75,219,246,151,222,61
1963-04-01,97,341,383,312,366,101
1963-05-01,12,40,49,38,45,0
1963-06-01,1,3,5,11,11,9
1963-07-01,0,0,1,0,0,0
1963-08-01,0,1,1,10,0,4
1963-09-01,2,5,7,25,19,93
1963-10-01,50,167,198,72,129,34
1963-11-01,133,377,407,210,362,141
1963-12-01,16,71,88,26,38,2
1964-01-01,71,235,286,73,215,54
1964-02-01,3,16,23,3,12,4
1964-03-01,31,111,134,93,96,59
1964-04-01,6,17,19,79,32,40
1964-05-01,8,27,33,45,39,12
1964-06-01,15,14,14,10,33,8
1964-07-01,2,6,8,0,2,1
1964-08-01,0,3,4,25,3,0
1964-09-01,8,15,14,16,26,3
1964-10-01,44,110,116,70,63,8
1964-11-01,123,409,455,175,304,94
1964-12-01,156,550,624,305,496,50
1965-01-01,112,270,294,128,317,18
1965-02-01,18,50,56,32,42,7
1965-03-01,21,58,62,76,85,46
1965-04-01,78,245,267,235,259,292
1965-05-01,1,4,6,2,5,3
1965-06-01,1,3,5,1,7,2
1965-07-01,1,2,1,3,0,12
1965-08-01,25,54,54,15,69,3
1965-09-01,0,2,2,4,5,24
1965-10-01,1,12,15,11,5,0
1965-11-01,146,445,478,294,372,423
1965-12-01,70,198,220,179,171,153
1966-01-01,99,320,368,46,190,26
1966-02-01,64,167,181,55,127,43
1966-03-01,11,91,126,9,60,12
1966-04-01,12,49,54,40,74,2
1966-05-01,3,6,6,21,8,10
1966-06-01,2,2,3,7,2,0
1966-07-01,2,1,1,10,1,1
1966-08-01,5,16,18,0,1,0
1966-09-01,8,27,31,9,2,9
1966-10-01,0,4,8,0,0,5
1966-11-01,168,452,495,137,483,113
1966-12-01,104,296,324,335,272,224
1967-01-01,190,402,423,197,476,97
1967-02-01,10,27,32,23,27,1
1967-03-01,84,272,311,198,269,54
1967-04-01,91,248,257,475,275,209
1967-05-01,2,14,20,28,18,11
1967-06-01,25,22,22,23,52,3
1967-07-01,0,1,1,5,1,1
1967-08-01,0,2,3,3,1,7
1967-09-01,3,12,17,28,6,19
1967-10-01,13,76,95,5,42,0
1967-11-01,47,153,175,121,152,240
1967-12-01,61,225,249,113,165,60
1968-01-01,135,356,391,86,310,23
1968-02-01,82,183,195,83,179,17
1968-03-01,45,129,143,91,134,70
1968-04-01,9,21,19,50,18,41
1968-05-01,6,25,31,24,25,7
1968-06-01,4,4,5,6,13,1
1968-07-01,0,1,1,2,2,7
1968-08-01,24,100,112,4,45,11
1968-09-01,0,6,8,0,2,0
1968-10-01,34,82,92,86,116,11
1968-11-01,76,214,238,142,213,19
1968-12-01,162,539,582,241,406,39
1969-01-01,196,474,505,579,571,313
1969-02-01,161,361,387,387,364,283
1969-03-01,33,85,90,97,72,35
1969-04-01,33,102,110,164,129,50
1969-05-01,0,6,10,7,1,24
1969-06-01,5,8,11,25,23,5
1969-07-01,1,0,1,22,3,8
1969-08-01,0,0,0,1,0,0
1969-09-01,0,9,12,4,0,2
1969-10-01,38,99,107,40,91,1
1969-11-01,24,95,115,56,85,85
1969-12-01,205,570,602,125,535,4
1970-01-01,250,608,640,292,624,40
1970-02-01,45,116,129,76,107,59
1970-03-01,39,101,108,126,139,84
1970-04-01,7,31,37,38,34,6
1970-05-01,1,7,12,0,7,1
1970-06-01,14,13,13,19,35,1
1970-07-01,0,0,0,1,0,0
1970-08-01,0,0,0,0,0,3
1970-09-01,1,1,2,0,0,0
1970-10-01,31,94,105,6,86,2
1970-11-01,176,465,522,264,489,195
1970-12-01,147,449,487,218,384,136
1971-01-01,55,227,260,48,135,20
1971-02-01,3,32,48,32,14,18
1971-03-01,60,217,255,65,222,16
1971-04-01,13,65,78,66,60,33
1971-05-01,12,29,31,120,45,39
1971-06-01,2,6,10,1,23,1
1971-07-01,0,1,2,7,1,0
1971-08-01,1,14,20,2,1,0
1971-09-01,4,22,30,13,26,0
1971-10-01,7,30,37,17,13,14
1971-11-01,42,187,237,89,124,10
1971-12-01,110,298,324,257,281,204
1972-01-01,31,136,173,29,101,0
1972-02-01,38,135,166,50,107,2
1972-03-01,10,86,120,0,44,0
1972-04-01,29,93,104,56,122,8
1972-05-01,7,25,29,14,27,6
1972-06-01,4,7,11,17,13,9
1972-07-01,0,0,0,3,0,0
1972-08-01,0,6,7,3,1,16
1972-09-01,18,57,67,32,44,4
1972-10-01,64,150,152,29,144,14
1972-11-01,137,334,347,253,339,141
1972-12-01,77,265,294,126,188,57
1973-01-01,218,458,464,218,492,100
1973-02-01,144,288,293,263,307,172
1973-03-01,60,175,198,196,161,96
1973-04-01,3,19,24,22,12,2
1973-05-01,2,10,12,7,17,2
1973-06-01,0,1,1,3,2,0
1973-07-01,0,1,1,0,1,0
1973-08-01,0,2,2,3,4,1
1973-09-01,9,43,54,1,22,0
1973-10-01,55,161,174,76,147,3
1973-11-01,222,636,704,184,641,81
