Date,Monthly precipitation [mm],Site
1958-01-01,128,Antelope Valley Ranch (AVR)
1958-01-01,341,Dry Creek
1958-01-01,380,Elder Creek
1958-01-01,298,"Paradise, CA"
1958-01-01,165,KREW (P300 gauge)
1958-01-01,51,San Dimas Experimental Watershed
1958-02-01,245,Antelope Valley Ranch (AVR)
1958-02-01,614,Dry Creek
1958-02-01,675,Elder Creek
1958-02-01,491,"Paradise, CA"
1958-02-01,255,KREW (P300 gauge)
1958-02-01,183,San Dimas Experimental Watershed
1958-03-01,98,Antelope Valley Ranch (AVR)
1958-03-01,252,Dry Creek
1958-03-01,271,Elder Creek
1958-03-01,307,"Paradise, CA"
1958-03-01,319,KREW (P300 gauge)
1958-03-01,152,San Dimas Experimental Watershed
1958-04-01,87,Antelope Valley Ranch (AVR)
1958-04-01,223,Dry Creek
1958-04-01,229,Elder Creek
1958-04-01,254,"Paradise, CA"
1958-04-01,270,KREW (P300 gauge)
1958-04-01,245,San Dimas Experimental Watershed
1958-05-01,17,Antelope Valley Ranch (AVR)
1958-05-01,40,Dry Creek
1958-05-01,43,Elder Creek
1958-05-01,46,"Paradise, CA"
1958-05-01,43,KREW (P300 gauge)
1958-05-01,15,San Dimas Experimental Watershed
1958-06-01,14,Antelope Valley Ranch (AVR)
1958-06-01,22,Dry Creek
1958-06-01,26,Elder Creek
1958-06-01,43,"Paradise, CA"
1958-06-01,5,KREW (P300 gauge)
1958-06-01,1,San Dimas Experimental Watershed
1958-07-01,3,Antelope Valley Ranch (AVR)
1958-07-01,8,Dry Creek
1958-07-01,9,Elder Creek
1958-07-01,8,"Paradise, CA"
1958-07-01,6,KREW (P300 gauge)
1958-07-01,0,San Dimas Experimental Watershed
1958-08-01,2,Antelope Valley Ranch (AVR)
1958-08-01,9,Dry Creek
1958-08-01,14,Elder Creek
1958-08-01,4,"Paradise, CA"
1958-08-01,3,KREW (P300 gauge)
1958-08-01,13,San Dimas Experimental Watershed
1958-09-01,2,Antelope Valley Ranch (AVR)
1958-09-01,8,Dry Creek
1958-09-01,11,Elder Creek
1958-09-01,11,"Paradise, CA"
1958-09-01,51,KREW (P300 gauge)
1958-09-01,17,San Dimas Experimental Watershed
1958-10-01,5,Antelope Valley Ranch (AVR)
1958-10-01,15,Dry Creek
1958-10-01,19,Elder Creek
1958-10-01,28,"Paradise, CA"
1958-10-01,0,KREW (P300 gauge)
1958-10-01,16,San Dimas Experimental Watershed
1958-11-01,8,Antelope Valley Ranch (AVR)
1958-11-01,67,Dry Creek
1958-11-01,92,Elder Creek
1958-11-01,47,"Paradise, CA"
1958-11-01,23,KREW (P300 gauge)
1958-11-01,9,San Dimas Experimental Watershed
1958-12-01,34,Antelope Valley Ranch (AVR)
1958-12-01,105,Dry Creek
1958-12-01,123,Elder Creek
1958-12-01,110,"Paradise, CA"
1958-12-01,25,KREW (P300 gauge)
1958-12-01,0,San Dimas Experimental Watershed
1959-01-01,145,Antelope Valley Ranch (AVR)
1959-01-01,449,Dry Creek
1959-01-01,512,Elder Creek
1959-01-01,330,"Paradise, CA"
1959-01-01,127,KREW (P300 gauge)
1959-01-01,46,San Dimas Experimental Watershed
